,,ALAMO,APEX,APEX Profiling Float,APEX-SBE,APEX_D,ARGOS,ARVOR,ARVOR_D,GPS,GTS,HM2000,IRIDIUM,NAVIS,NAVISIR,NAVIS_A,NEMO,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_CTS3-DO-I,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],Primary sampling: discrete,S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,Usage : ../sh/read_csv_list.sh <,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,nProf,nmdis
94,3.0,,5743,,195.0,,9003,248.0,,1734.0,9.0,,29.0,,,,248.0,,,,,,,,875,,,28.0,,,3.0,,,51.0,,1091,3.0,,189.0,579.0,,5581,367,1358,221,1206,2011-11-30,300,1327,180,77,298,10957,42.0
95,3.0,,6006,,201.0,,9398,271.0,,1868.0,17.0,,33.0,,,,336.0,,,,,,,,900,,,12.0,,,6.0,,,54.0,,1128,3.0,,197.0,591.0,,5740,398,1413,253,1287,2011-12-31,346,1452,164,82,308,11483,40.0
96,3.0,,6059,,192.0,,9400,281.0,,1869.0,18.0,,37.0,,,2.0,337.0,,,,,,,,877,,,13.0,,,3.0,,,53.0,,1113,3.0,,196.0,606.0,,5737,404,1410,269,1270,2012-01-31,389,1437,185,77,291,11510,41.0
97,3.0,,5712,,174.0,,8771,265.0,,1737.0,8.0,,35.0,,1.0,6.0,220.0,,,1.0,,,,,815,,,26.0,,,3.0,,,55.0,,1062,3.0,,190.0,568.0,,5379,390,1325,266,1207,2012-02-29,378,1226,160,72,270,10712,39.0
98,3.0,,6178,,193.0,,9378,329.0,,1906.0,3.0,,53.0,,6.0,11.0,171.0,,,3.0,,,,,782,,,32.0,,,6.0,,,61.0,,1150,3.0,,295.0,627.0,,5957,409,1443,303,1268,2012-03-31,394,1159,169,71,294,11509,42.0
99,3.0,,6044,,181.0,,9037,327.0,,1838.0,,,35.0,,5.0,17.0,153.0,,,2.0,1.0,,,,743,,,35.0,,,2.0,,,55.0,,1088,3.0,,232.0,612.0,,5739,384,1406,280,1206,2012-04-30,371,1138,183,69,275,11093,42.0
100,3.0,,6267,,175.0,,9253,358.0,,1890.0,,,44.0,,2.0,26.0,113.0,,,2.0,1.0,,,,750,,,38.0,,,4.0,,,64.0,,1127,3.0,,238.0,618.0,,5986,396,1458,293,1200,2012-05-31,381,1095,173,69,271,11364,42.0
101,3.0,,6240,,156.0,,8771,369.0,,2024.0,12.0,,37.0,,6.0,41.0,45.0,,,14.0,9.0,,,,712,,,36.0,,,2.0,,,108.0,,1064,3.0,,300.0,553.0,,5806,368,1449,306,1149,2012-06-30,352,1137,181,66,269,11123,40.0
102,3.0,,6689,,158.0,,9144,469.0,,2170.0,12.0,,60.0,,19.0,56.0,47.0,,,21.0,33.0,,,,779,,,35.0,,,4.0,,,80.0,,1094,3.0,,285.0,544.0,,5968,389,1591,329,1181,2012-07-31,361,1272,243,68,302,11744,40.0
103,3.0,,6976,,147.0,,9076,505.0,5.0,2436.0,11.0,,38.0,,39.0,64.0,45.0,,3.0,20.0,39.0,,,,753,,,21.0,,,1.0,,,80.0,,1063,3.0,,267.0,543.0,,5946,394,1576,463,1216,2012-08-31,359,1322,274,59,292,11942,41.0
104,3.0,,7472,,129.0,,8790,523.0,11.0,2997.0,13.0,,42.0,,22.0,59.0,44.0,,12.0,22.0,36.0,,,,726,,,21.0,,,,,,78.0,,1002,3.0,,251.0,516.0,,5969,405,1540,488,1554,2012-09-30,366,1305,263,59,271,12259,39.0
105,3.0,,7784,,118.0,,9103,551.0,17.0,3144.0,16.0,,55.0,,18.0,83.0,42.0,,7.0,26.0,38.0,,,,742,,,19.0,45.0,,,11.0,,141.0,,1036,3.0,,280.0,530.0,,6342,418,1665,394,1590,2012-10-31,365,1292,296,67,268,12738,41.0
106,3.0,,7525,,104.0,,8913,592.0,15.0,3083.0,12.0,,46.0,,18.0,120.0,42.0,,,29.0,34.0,,,,718,,,21.0,98.0,,,13.0,,213.0,,993,3.0,,305.0,488.0,,6146,430,1670,371,1622,2012-11-30,357,1262,267,58,258,12480,39.0
107,3.0,,7705,,109.0,,9245,665.0,16.0,3105.0,80.0,,38.0,,16.0,138.0,128.0,,12.0,27.0,34.0,,,,722,,,21.0,103.0,,,24.0,,207.0,,998,3.0,,349.0,490.0,,6449,432,1800,427,1482,2012-12-31,373,1313,272,61,262,12913,42.0
108,3.0,,7949,,101.0,,9068,713.0,7.0,3624.0,142.0,,57.0,,15.0,152.0,165.0,,12.0,31.0,28.0,,,,740,,,15.0,120.0,,,42.0,,276.0,,1011,4.0,13.0,321.0,489.0,,7064,432,1829,495,1247,2013-01-31,394,1269,272,55,254,13349,38.0
109,3.0,,7321,,93.0,,8032,629.0,,3647.0,111.0,,68.0,,11.0,155.0,141.0,,10.0,31.0,31.0,,,,726,,,14.0,106.0,,,38.0,,249.0,,968,3.0,13.0,299.0,445.0,,6650,388,1648,436,1120,2013-02-28,353,1104,210,47,241,12231,34.0
110,3.0,,8140,,93.0,,8664,674.0,,4193.0,107.0,,88.0,,3.0,175.0,172.0,,6.0,34.0,31.0,,,,783,,,16.0,130.0,,,37.0,,287.0,,994,3.0,10.0,411.0,481.0,,7375,425,1830,491,1228,2013-03-31,354,1163,196,51,244,13394,37.0
111,3.0,,7253,2.0,79.0,,8285,665.0,,3624.0,58.0,,76.0,,9.0,194.0,206.0,,6.0,32.0,32.0,,,,726,,,12.0,236.0,,,30.0,,357.0,,975,3.0,11.0,384.0,448.0,,6512,417,1788,456,1186,2013-04-30,335,1210,197,48,226,12409,34.0
112,3.0,,7297,1.0,73.0,,8615,730.0,,3725.0,38.0,,65.0,,9.0,208.0,96.0,,6.0,46.0,40.0,,,,635,,,,460.0,,,32.0,,402.0,,1014,3.0,10.0,418.0,440.0,,6569,434,1903,468,1222,2013-05-31,510,1177,210,53,235,12817,36.0
113,3.0,,7058,,65.0,,8104,736.0,,3789.0,29.0,,67.0,,10.0,229.0,130.0,,2.0,52.0,52.0,,,,614,,,,490.0,,,31.0,,363.0,,945,3.0,15.0,373.0,466.0,,6326,418,1934,460,1171,2013-06-30,348,1167,195,45,241,12339,34.0
114,4.0,,7240,,65.0,,8248,737.0,,3826.0,26.0,,67.0,,9.0,250.0,148.0,,5.0,69.0,66.0,1.0,,,622,,,11.0,338.0,,,30.0,1.0,354.0,,967,3.0,27.0,419.0,468.0,,6516,439,1815,497,1180,2013-07-31,356,1186,210,47,263,12542,33.0
115,3.0,,7410,,56.0,,8232,783.0,,4236.0,23.0,,60.0,,10.0,278.0,112.0,,4.0,70.0,64.0,,,,622,,,,293.0,,,26.0,4.0,364.0,,954,7.0,10.0,646.0,461.0,,6912,421,1777,554,1203,2013-08-31,375,1119,226,46,252,12919,34.0
116,3.0,,8115,,46.0,,7885,806.0,,5008.0,14.0,,70.0,,10.0,281.0,135.0,,2.0,69.0,57.0,,,,600,,,,261.0,,,21.0,,481.0,,886,6.0,15.0,508.0,449.0,,7546,406,1677,527,1169,2013-09-30,350,1141,221,46,230,13345,32.0
117,3.0,,8190,,45.0,,8160,836.0,,5124.0,12.0,,69.0,,11.0,307.0,174.0,,2.0,72.0,67.0,,,,611,,,,511.0,,,20.0,,526.0,,899,6.0,,540.0,440.0,,7578,471,1863,445,1232,2013-10-31,410,1181,234,44,246,13738,34.0
118,3.0,,7108,,39.0,,7749,821.0,8.0,4146.0,39.0,,72.0,,12.0,294.0,122.0,,4.0,66.0,61.0,,,,571,,,,398.0,,,21.0,,471.0,,842,7.0,,659.0,418.0,,6726,478,1723,414,1180,2013-11-30,338,968,204,42,218,12324,33.0
119,3.0,,7239,,36.0,,7963,869.0,15.0,4330.0,65.0,,67.0,,7.0,308.0,153.0,,3.0,81.0,58.0,,,,595,,,,349.0,,,17.0,,577.0,,846,6.0,,694.0,427.0,,6967,468,1792,438,1270,2013-12-31,355,935,227,43,222,12751,34.0
120,3.0,,7147,,38.0,,7846,856.0,15.0,4352.0,287.0,,62.0,,10.0,322.0,369.0,,9.0,82.0,56.0,,,,587,,,,366.0,,,10.0,,570.0,,825,6.0,,643.0,425.0,,6848,471,1993,487,1312,2014-01-31,350,869,205,46,214,12829,34.0
121,3.0,,6540,,26.0,,6940,805.0,14.0,4366.0,222.0,,65.0,,8.0,262.0,293.0,,12.0,67.0,55.0,,,,569,,,,353.0,,,10.0,,530.0,,718,6.0,,721.0,391.0,,6211,405,1825,452,1428,2014-02-28,322,768,171,39,180,11832,31.0
122,3.0,,7183,,27.0,,7599,928.0,8.0,5178.0,116.0,,78.0,,9.0,326.0,201.0,,17.0,85.0,63.0,,,,718,,,,427.0,,,10.0,,619.0,,772,6.0,,901.0,434.0,,6987,449,1900,614,1533,2014-03-31,359,911,190,43,209,13229,34.0
123,3.0,,6962,,25.0,,7355,912.0,3.0,5239.0,36.0,,78.0,,15.0,414.0,104.0,,8.0,83.0,72.0,,,,1085,,,,370.0,,,10.0,,516.0,,745,6.0,,768.0,402.0,,6657,438,1696,995,1526,2014-04-30,384,805,200,39,207,12980,33.0
124,3.0,,7707,,31.0,,7586,972.0,12.0,5999.0,33.0,,73.0,,17.0,467.0,104.0,,10.0,87.0,79.0,,,,1124,,,,319.0,,,11.0,,585.0,,746,6.0,,768.0,396.0,,7472,473,1747,1029,1540,2014-05-31,357,849,182,41,215,13939,34.0
125,3.0,,7171,,29.0,,7263,998.0,28.0,5665.0,30.0,,65.0,,11.0,462.0,73.0,,5.0,75.0,76.0,,,,1096,,,,322.0,,,10.0,,540.0,,707,8.0,20.0,784.0,388.0,,6992,460,1825,1005,1439,2014-06-30,335,762,177,39,194,13261,33.0
126,3.0,,6981,,28.0,,7468,1036.0,28.0,5636.0,24.0,,67.0,,11.0,528.0,53.0,,5.0,76.0,68.0,,,,1140,,,,381.0,,,10.0,,671.0,,710,299.0,23.0,798.0,154.0,,6990,489,1956,1018,1434,2014-07-31,333,768,153,39,185,13399,34.0
127,3.0,,7055,,27.0,,7405,1025.0,26.0,5667.0,16.0,,62.0,,12.0,575.0,27.0,,3.0,83.0,67.0,,,,1164,,,,327.0,,7.0,2.0,,613.0,,697,470.0,18.0,800.0,7.0,,7134,490,1844,1092,1282,2014-08-31,379,735,218,29,176,13414,35.0
128,3.0,,6746,,26.0,,7150,1014.0,18.0,5484.0,14.0,,53.0,,17.0,594.0,31.0,,4.0,90.0,70.0,,,,1137,,,,309.0,,9.0,,,631.0,,664,458.0,17.0,737.0,6.0,,6980,477,1772,1077,1112,2014-09-30,370,706,236,33,179,12975,33.0
129,3.0,,6631,,21.0,,7255,1036.0,18.0,5536.0,16.0,,57.0,,23.0,633.0,39.0,,3.0,126.0,72.0,,,,1105,,,,415.0,,9.0,,,633.0,,657,484.0,21.0,834.0,6.0,,7037,567,1864,1029,1068,2014-10-31,360,716,249,35,188,13146,33.0
130,3.0,,6461,,20.0,,7102,1057.0,19.0,5359.0,26.0,,58.0,,23.0,652.0,54.0,,2.0,118.0,66.0,,,,883,,,,383.0,,10.0,,,663.0,,614,445.0,14.0,927.0,5.0,,7042,566,1822,800,1040,2014-11-30,337,734,206,35,165,12780,33.0
131,3.0,,6882,,19.0,,7558,1187.0,15.0,5524.0,149.0,,64.0,,24.0,689.0,173.0,,4.0,116.0,74.0,,,,901,,,,395.0,,8.0,,,666.0,,605,461.0,10.0,930.0,6.0,,7343,533,2148,841,1081,2014-12-31,367,777,236,36,165,13560,33.0
132,3.0,,6854,,13.0,,7601,1232.0,16.0,5680.0,335.0,,54.0,,26.0,663.0,359.0,,4.0,106.0,68.0,,,,884,,,,491.0,,10.0,,,656.0,,610,441.0,10.0,1032.0,8.0,,7398,541,2426,849,1085,2015-01-31,383,783,210,38,151,13899,35.0
133,3.0,,6609,,5.0,,6879,1142.0,14.0,5693.0,172.0,,44.0,,25.0,629.0,194.0,,5.0,94.0,61.0,,,,777,,,,476.0,,8.0,,,661.0,,539,393.0,9.0,973.0,9.0,,6922,517,2110,759,998,2015-02-28,582,731,195,31,135,13010,30.0
134,18.0,,6892,,6.0,,7548,1314.0,15.0,5922.0,92.0,,57.0,,29.0,719.0,113.0,,6.0,107.0,65.0,,,,825,,,,525.0,,9.0,,,696.0,,583,429.0,10.0,1080.0,9.0,,7438,563,2263,837,1092,2015-03-31,436,827,216,31,143,13879,33.0
135,25.0,,6669,,1.0,,7334,1317.0,6.0,5961.0,44.0,,47.0,,32.0,802.0,66.0,,3.0,158.0,13.0,,,,774,,6.0,,558.0,,8.0,,,720.0,,559,398.0,9.0,1035.0,10.0,,7314,542,2228,797,1053,2015-04-30,402,890,201,33,143,13632,29.0
136,3.0,,6901,,,,7621,1491.0,6.0,6638.0,34.0,,53.0,,33.0,954.0,56.0,,2.0,206.0,,,,,691,,1.0,,766.0,,10.0,,,747.0,,574,392.0,12.0,1288.0,10.0,,7829,553,2595,723,1079,2015-05-31,407,986,199,36,151,14588,30.0
137,3.0,,6514,,,,7274,1456.0,18.0,5811.0,24.0,,50.0,,37.0,793.0,44.0,,2.0,242.0,,,,,542,,,,583.0,,9.0,,,691.0,,533,366.0,13.0,1112.0,12.0,,7269,562,2370,550,1010,2015-06-30,392,819,263,33,161,13458,29.0
138,4.0,,6864,,,,7509,1506.0,30.0,6919.0,16.0,,46.0,,35.0,1630.0,38.0,,,294.0,,,,,562,,,,557.0,,9.0,,,695.0,,556,362.0,16.0,1162.0,13.0,,7654,590,2399,574,1350,2015-07-31,403,1346,271,33,210,14854,24.0
139,3.0,,6841,,,,7338,1502.0,33.0,6762.0,16.0,,50.0,,41.0,1415.0,39.0,,1.0,271.0,,,,,558,,,,501.0,,9.0,,,689.0,,550,307.0,23.0,1168.0,37.0,7.0,7644,577,2307,577,1166,2015-08-31,441,1249,279,31,208,14503,24.0
140,,,6429,,,,7023,1470.0,29.0,6360.0,15.0,13.0,64.0,,47.0,958.0,36.0,,1.0,309.0,,,,,527,,,,464.0,,9.0,,,842.0,,521,309.0,53.0,1237.0,11.0,15.0,7422,537,2286,591,1130,2015-09-30,482,799,269,31,209,13777,21.0
141,,,6840,,,,7255,1518.0,31.0,6764.0,14.0,14.0,82.0,,52.0,957.0,34.0,,,310.0,,,,,533,,,,575.0,,9.0,,,843.0,,526,347.0,,1351.0,12.0,13.0,7924,543,2473,633,1151,2015-10-31,404,817,255,32,205,14454,17.0
142,,,6998,,,,7026,1515.0,28.0,6978.0,15.0,7.0,82.0,,52.0,989.0,34.0,,,305.0,,,,,503,,,,764.0,,9.0,,,736.0,,498,342.0,,1319.0,12.0,,7930,668,2513,608,1057,2015-11-30,394,903,256,31,193,14565,12.0
143,,,6899,,,,7244,1574.0,26.0,6884.0,123.0,7.0,85.0,,63.0,1023.0,143.0,,3.0,340.0,,,,,511,,,,772.0,,9.0,,,835.0,,497,341.0,,1288.0,12.0,,7795,668,2777,615,1109,2015-12-31,398,924,253,33,207,14792,13.0
144,,,6896,,,1.0,7139,1565.0,28.0,7063.0,170.0,8.0,81.0,,64.0,1082.0,185.0,,4.0,351.0,,,,,502,,,,621.0,,9.0,,,826.0,,492,332.0,29.0,1302.0,12.0,,7847,587,2748,589,1337,2016-01-31,423,807,225,31,190,14792,8.0
145,,,6396,,,6.0,6578,1460.0,26.0,6590.0,73.0,6.0,60.0,,59.0,1024.0,86.0,,7.0,339.0,,,,,441,,,,488.0,,9.0,,,759.0,,453,306.0,113.0,1223.0,17.0,,7408,493,2410,534,1188,2016-02-29,419,808,202,26,161,13654,5.0
146,,,7058,,,7.0,6957,1566.0,22.0,7420.0,29.0,6.0,65.0,,37.0,1108.0,40.0,,12.0,351.0,,,,,455,,,,707.0,,9.0,,,879.0,56.0,463,171.0,32.0,1247.0,151.0,,7930,672,2550,527,1240,2016-03-31,649,879,206,30,168,14856,5.0
147,,,6644,,,6.0,6664,1544.0,12.0,7107.0,28.0,6.0,48.0,,,1032.0,41.0,,9.0,342.0,,,,,425,,,,741.0,,9.0,,,829.0,48.0,421,,17.0,1236.0,312.0,,7686,646,2529,493,1200,2016-04-30,442,755,166,28,168,14114,1.0
148,,,6922,,,6.0,6820,1594.0,12.0,7630.0,26.0,4.0,51.0,,,1072.0,31.0,,8.0,349.0,,,,,431,,,,528.0,,11.0,,,1228.0,48.0,415,,17.0,1351.0,319.0,,8378,534,2522,495,1281,2016-05-31,463,734,177,29,189,14802,
149,,,6524,,,6.0,6419,1586.0,16.0,7534.0,4.0,9.0,47.0,,,1049.0,7.0,,4.0,341.0,,,,,411,,,,417.0,32.0,4.0,,,1379.0,48.0,386,,52.0,1284.0,292.0,,8202,498,2387,455,1211,2016-06-30,433,706,182,21,199,14294,
150,,,6685,,,7.0,6461,1614.0,18.0,8013.0,,9.0,46.0,,,1217.0,4.0,,3.0,376.0,,,,,429,,,,393.0,124.0,,,,1316.0,48.0,393,,106.0,1302.0,285.0,,8431,521,2504,458,1301,2016-07-31,434,759,159,20,229,14816,
151,,,6489,,,13.0,6338,1635.0,17.0,7744.0,,9.0,40.0,,,1157.0,3.0,,3.0,368.0,,,,,403,,,,335.0,155.0,,,,1222.0,52.0,379,,77.0,1295.0,285.0,,8161,516,2456,452,1244,2016-08-31,415,753,229,18,234,14478,
152,,,6514,,,12.0,6022,1621.0,15.0,7507.0,,41.0,55.0,,,1106.0,2.0,,4.0,328.0,,,,,380,,,,375.0,155.0,8.0,,,1052.0,29.0,348,,27.0,1227.0,251.0,,7737,507,2450,471,1199,2016-09-30,390,725,204,18,221,13922,
153,,,6713,,,14.0,6208,1737.0,11.0,7705.0,,70.0,63.0,,,1165.0,2.0,,4.0,336.0,,,,,377,,,,487.0,109.0,9.0,,,825.0,30.0,344,,100.0,1355.0,248.0,,7778,519,2565,553,1215,2016-10-31,451,797,201,21,231,14331,
154,,,6400,,,18.0,5907,1703.0,14.0,7507.0,,66.0,79.0,,,1217.0,2.0,,5.0,323.0,,,,,363,,,,479.0,85.0,9.0,,,805.0,21.0,305,,72.0,1369.0,240.0,,7529,527,2461,506,1193,2016-11-30,439,787,202,21,215,13880,
155,,,6695,,,19.0,6118,1828.0,22.0,7945.0,,68.0,57.0,,,1338.0,2.0,,2.0,312.0,,,,,355,,,,530.0,76.0,10.0,,,877.0,21.0,301,,64.0,1412.0,230.0,,7801,563,2608,498,1260,2016-12-31,444,848,182,25,207,14436,
156,,,6592,,,19.0,5999,1888.0,22.0,8043.0,,56.0,50.0,,,1376.0,2.0,,3.0,339.0,,,,,344,,,,507.0,73.0,9.0,,,918.0,19.0,281,,60.0,1383.0,223.0,,7728,540,2678,451,1264,2017-01-31,454,793,173,21,205,14307,
157,,,5827,,,15.0,5286,1801.0,19.0,7344.0,,49.0,33.0,,,1294.0,2.0,,3.0,336.0,,,,,275,,,,440.0,53.0,8.0,,,828.0,2.0,223,,54.0,1300.0,195.0,,6956,496,2463,353,1109,2017-02-28,409,698,165,18,199,12866,
158,,,6341,,,19.0,5808,2020.0,21.0,7884.0,,58.0,45.0,,,1456.0,2.0,,5.0,353.0,,,,,273,,,,368.0,50.0,10.0,,,942.0,,243,,99.0,1409.0,191.0,,7564,584,2568,366,1228,2017-03-31,438,840,191,22,211,14012,
159,,,5946,,,19.0,5554,2212.0,18.0,7744.0,,50.0,43.0,,,1327.0,2.0,,1.0,351.0,,,,,330,,,,395.0,44.0,9.0,,,817.0,,206,,71.0,1353.0,184.0,,6982,744,2634,400,1212,2017-04-30,435,681,168,18,208,13482,
160,,,5926,,,19.0,5627,2206.0,20.0,7801.0,,48.0,31.0,,,1430.0,2.0,,1.0,357.0,,,,,298,,,,397.0,25.0,9.0,,,968.0,,187,,60.0,1345.0,167.0,,7056,686,2657,369,1263,2017-05-31,431,723,185,18,216,13604,
161,,,5553,,,18.0,5668,2747.0,18.0,7719.0,,41.0,38.0,,,1418.0,2.0,,1.0,345.0,,,,,288,,,,435.0,,9.0,,,978.0,,170,,45.0,1258.0,148.0,,6683,646,2580,341,1236,2017-06-30,972,718,181,16,217,13590,
162,,,5619,,,18.0,5414,2231.0,19.0,7614.0,,42.0,39.0,,,1414.0,,,4.0,378.0,,,,,290,,,,409.0,65.0,9.0,,,1008.0,,164,,50.0,1309.0,137.0,,6783,670,2555,331,1197,2017-07-31,516,773,182,17,247,13271,
163,,,5657,,,17.0,5315,2340.0,33.0,8023.0,,27.0,48.0,,,1481.0,,,1.0,408.0,,,,,301,,,,388.0,181.0,9.0,,,1015.0,,151,,84.0,1306.0,139.0,,6816,854,2680,334,1182,2017-08-31,470,806,190,18,280,13630,
164,,24.0,5410,,,16.0,5025,2305.0,27.0,7933.0,,11.0,51.0,7.0,,1434.0,,,1.0,401.0,,,,,292,,,,359.0,186.0,9.0,,,989.0,,141,,57.0,1350.0,127.0,,6687,851,2599,288,1121,2017-09-30,453,767,161,17,278,13222,
165,,42.0,5758,,,20.0,5053,2273.0,23.0,8457.0,,4.0,69.0,32.0,,1536.0,,,1.0,427.0,,,,,309,,,,385.0,131.0,9.0,,,1024.0,,134,,91.0,1426.0,119.0,,7221,784,2631,330,1152,2017-10-31,447,779,152,12,303,13811,
166,,29.0,5607,,,17.0,4805,2188.0,22.0,8230.0,,30.0,73.0,25.0,,1503.0,4.0,,1.0,394.0,,,,,286,,,,366.0,9.0,9.0,,,1003.0,,124,,69.0,1482.0,114.0,,7155,728,2362,327,1109,2017-11-30,422,747,182,9,293,13334,
167,,15.0,5796,,,15.0,4897,2257.0,18.0,8475.0,,46.0,71.0,26.0,,1557.0,4.0,,1.0,381.0,,,,,284,,,,405.0,,9.0,,,989.0,,124,,74.0,1505.0,110.0,,7325,749,2353,358,1154,2017-12-31,470,765,173,9,306,13662,
